Designator,Footprint,Quantity,Value,LCSC Part #
BAT+1,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.3mm,1,BH-331P24,
"C1, C2, C3",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,33n,
D1,LED_D10.0mm,1,LL-1003VD2D-V1-1A,
D2,LED_D10.0mm,1,LL-1003UYD2D-Y2-1A,
D3,LED_D10.0mm,1,LL-1004PGD2R-G5-2B,
D4,LED_D3.0mm,1,LL-304VD2E-V1-1A,
IC1,DIP-16_W7.62mm_LongPads,1,4060,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,270R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,390R,
"R3, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,15k,
SW1,EG1206A,1,E-SWITCH EG1206A,
T1,TO-92_Inline_Wide,1,BC546B,
